#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Gegege no Kitarou - Fukkatsu! Tenma Daiou (Japan);Gegege no Kitarou - Fukkatsu! Tenma Daiou (Japan);Nintendo Super Famicom;;1993;Bec;Action;;;;;0;;;;;
Gemfire (USA);Gemfire (USA);Super Nintendo Entertainment System;;1992;Koei;Strategy;;;;;0;;;;;
GS Mikami - Joreishi wa Nice Body (Japan);GS Mikami - Joreishi wa Nice Body (Japan);Nintendo Super Famicom;;1993;Natsume;Action;;;;;0;;;;;
Go Go Ackman (Japan) (Translated En);Go Go Ackman (Japan) (Translated En);Nintendo Super Famicom;;1994;Banpresto;Platform;;;;;0;;;;;
Go Go Ackman 2 (Japan);Go Go Ackman 2 (Japan);Nintendo Super Famicom;;1995;Aspect;Platform;;;;;0;;;;;
Go Go Ackman 3 (Japan);Go Go Ackman 3 (Japan);Nintendo Super Famicom;;1995;Aspect;Platform;;;;;0;;;;;
Gokujou Parodius (Japan);Gokujou Parodius (Japan);Nintendo Super Famicom;;1994;Konami;Shoot-'Em-Up;;;;;0;;;;;
Goof Troop (USA);Goof Troop (USA);Super Nintendo Entertainment System;;1993;Capcom;Action;;;;;0;;;;;
Gradius III (USA);Gradius III (USA);Super Nintendo Entertainment System;;1991;Konami;Shooter;;;;;0;;;;;
Hagane - The Final Conflict (USA);Hagane - The Final Conflict (USA);Super Nintendo Entertainment System;;1994;Hudson;Platform;;;;;0;;;;;
Harvest Moon (USA);Harvest Moon (USA);Super Nintendo Entertainment System;;1997;Natsume;Strategy;;;;;0;;;;;
Illusion of Gaia (USA);Illusion of Gaia (USA);Super Nintendo Entertainment System;;1994;Nintendo;Role-Playing;;;;;0;;;;;
Inindo - Way of the Ninja (USA);Inindo - Way of the Ninja (USA);Super Nintendo Entertainment System;;1993;Koei;Role-Playing;;;;;0;;;;;
International Superstar Soccer (USA);International Superstar Soccer (USA);Super Nintendo Entertainment System;;1995;Konami;Sports/Soccer;;;;;0;;;;;
Iron Commando - Koutetsu no Senshi (Japan);Iron Commando - Koutetsu no Senshi (Japan);Nintendo Super Famicom;;1995;Arcade Zone LTD;Beat-'Em-Up;;;;;0;;;;;
Jikkyou Oshaberi Parodius (Japan);Jikkyou Oshaberi Parodius (Japan);Nintendo Super Famicom;;1995;KCEO;Shoot-'Em-Up;;;;;0;;;;;
Joe & Mac (USA);Joe & Mac (USA);Super Nintendo Entertainment System;;1992;Data East;Platform;;;;;0;;;;;
Joe & Mac 2 - Lost in the Tropics (USA);Joe & Mac 2 - Lost in the Tropics (USA);Super Nintendo Entertainment System;;1994;Data East;Platform;;;;;0;;;;;
Judge Dredd (USA);Judge Dredd (USA);Super Nintendo Entertainment System;;1995;Acclaim;Platform;;;;;0;;;;;
Jungle Strike (USA);Jungle Strike (USA);Super Nintendo Entertainment System;;1995;Electronic Arts;Shooter;;;;;0;;;;;
Jurassic Park (USA);Jurassic Park (USA);Super Nintendo Entertainment System;;1993;Ocean;Adventure;;;;;0;;;;;
Jurassic Park II - The Chaos Continues (USA);Jurassic Park II - The Chaos Continues (USA);Super Nintendo Entertainment System;;1994;Ocean;Platform;;;;;0;;;;;
Keeper (Japan);Keeper (Japan);Nintendo Super Famicom;;1994;Fupac;Puzzle;;;;;0;;;;;
Ken Griffey Jr. Presents Major League Baseball (USA);Ken Griffey Jr. Presents Major League Baseball (USA);Super Nintendo Entertainment System;;1994;Nintendo;Sports;;;;;0;;;;;
Ken Griffey Jr.'s Winning Run (USA);Ken Griffey Jr.'s Winning Run (USA);Super Nintendo Entertainment System;;1996;Nintendo;Sports;;;;;0;;;;;
Killer Instinct (USA);Killer Instinct (USA);Super Nintendo Entertainment System;;1995;Nintendo;Fighter;;;;;0;;;;;
King Arthur's World (USA);King Arthur's World (USA);Super Nintendo Entertainment System;;1993;Jaleco;Puzzle;;;;;0;;;;;
King of Dragons, The (USA);King of Dragons, The (USA);Super Nintendo Entertainment System;;1994;Capcom;Fighter;;;;;0;;;;;
King of the Monsters (USA);King of the Monsters (USA);Super Nintendo Entertainment System;;1992;Takara;Fighter;;;;;0;;;;;
King of the Monsters 2 (USA);King of the Monsters 2 (USA);Super Nintendo Entertainment System;;1993;Takara;Fighter;;;;;0;;;;;
Kirby Super Star (USA);Kirby Super Star (USA);Super Nintendo Entertainment System;;1996;Nintendo;Platform;;;;;0;;;;;
Kirby's Avalanche (USA);Kirby's Avalanche (USA);Super Nintendo Entertainment System;;1995;Nintendo;Puzzle;;;;;0;;;;;
Kirby's Dream Course (USA);Kirby's Dream Course (USA);Super Nintendo Entertainment System;;1994;Nintendo;Sports;;;;;0;;;;;
Kirby's Dream Land 3 (USA);Kirby's Dream Land 3 (USA);Super Nintendo Entertainment System;;1998;Nintendo;Platform;;;;;0;;;;;
Knights of the Round (USA);Knights of the Round (USA);Super Nintendo Entertainment System;;1994;Capcom;Fighter;;;;;0;;;;;
Lagoon (USA);Lagoon (USA);Super Nintendo Entertainment System;;1991;Kemco;Role-Playing;;;;;0;;;;;
Legend (USA);Legend (USA);Super Nintendo Entertainment System;;1994;Seika Corp;Fighter;;;;;0;;;;;
Legend of the Mystical Ninja, The (USA);Legend of the Mystical Ninja, The (USA);Super Nintendo Entertainment System;;1992;Konami;Adventure;;;;;0;;;;;
Legend of Zelda, The - A Link to the Past (USA);Legend of Zelda, The - A Link to the Past (USA);Super Nintendo Entertainment System;;1992;Nintendo;Adventure;;;;;0;;;;;
Lemmings (USA);Lemmings (USA);Super Nintendo Entertainment System;;1992;SunSoft;Puzzle;;;;;0;;;;;
Lennus II - Fuuin no Shito (Japan) (Translated En);Lennus II - Fuuin no Shito (Japan) (Translated En);Nintendo Super Famicom;;1996;Copya Systems;Role-Playing;;;;;0;;;;;
Liberty or Death (USA);Liberty or Death (USA);Super Nintendo Entertainment System;;1994;Koei;Strategy;;;;;0;;;;;
Lion King, The (USA);Lion King, The (USA);Super Nintendo Entertainment System;;1994;Virgin Interactive;Platform;;;;;0;;;;;
