#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
mranger;Moon Ranger;MAME Mame4all;mpatrol;1982;bootleg;Shooter / Driving Horizontal;2P alt;;;;0;;mpatrol;;;
moonwalk;Moon Walker (Set 1);MAME Mame4all;;1990;Sega;;;;;;0;;;;;
moonwlka;Moon Walker (Set 2);MAME Mame4all;moonwalk;1990;Sega;;;;;;0;;moonwalk;;;
moonwlkb;Moon Walker (bootleg);MAME Mame4all;moonwalk;1990;bootleg;;;;;;0;;moonwalk;;;
moonwar2;Moon War II (set 1);MAME Mame4all;;1981;Stern;;;;;;0;;;;;
monwar2a;Moon War II (set 2);MAME Mame4all;moonwar2;1981;Stern;;;;;;0;;moonwar2;;;
mkla1;Mortal Kombat (rev 1.0 08/08/92);MAME Mame4all;mk;1992;Midway;Fighter / Versus;2P sim;;;;0;;mk;;;
mkla2;Mortal Kombat (rev 2.0 08/18/92);MAME Mame4all;mk;1992;Midway;Fighter / Versus;2P sim;;;;0;;mk;;;
mkla3;Mortal Kombat (rev 3.0 08/31/92);MAME Mame4all;mk;1992;Midway;Fighter / Versus;2P sim;;;;0;;mk;;;
mkla4;Mortal Kombat (rev 4.0 09/28/92);MAME Mame4all;mk;1992;Midway;Fighter / Versus;2P sim;;;;0;;mk;;;
mk;Mortal Kombat (rev 5.0 T-Unit 03/19/93);MAME Mame4all;;1992;Midway;Fighter / Versus;2P sim;;;;0;;;;;
mk3r10;Mortal Kombat 3 (rev 1.0);MAME Mame4all;mk3;1994;Midway;Fighter / Versus;2P sim;;;;0;;mk3;;;
mk3r20;Mortal Kombat 3 (rev 2.0);MAME Mame4all;mk3;1994;Midway;Fighter / Versus;2P sim;;;;0;;mk3;;;
mk3;Mortal Kombat 3 (rev 2.1);MAME Mame4all;;1994;Midway;Fighter / Versus;2P sim;;;;0;;;;;
mk2r14;Mortal Kombat II (rev L1.4);MAME Mame4all;mk2;1993;Midway;Fighter / Versus;2P sim;;;;0;;mk2;;;
mk2;Mortal Kombat II (rev L3.1);MAME Mame4all;;1993;Midway;Fighter / Versus;2P sim;;;;0;;;;;
mk2r32;Mortal Kombat II (rev L3.2 (European));MAME Mame4all;mk2;1993;Midway;Fighter / Versus;2P sim;;;;0;;mk2;;;
motorace;MotoRace USA;MAME Mame4all;travrusa;1983;Irem (Williams license);Driving / Race Bike;2P alt;;;;0;;travrusa;;;
motos;Motos;MAME Mame4all;;1985;Namco;Puzzle / Misc.;2P alt;;;;0;;;;;
mtrap3;Mouse Trap (version 3);MAME Mame4all;mtrap;1981;Exidy;Maze;2P alt;;;;0;;mtrap;;;
mtrap4;Mouse Trap (version 4);MAME Mame4all;mtrap;1981;Exidy;Maze;2P alt;;;;0;;mtrap;;;
mtrap;Mouse Trap (version 5);MAME Mame4all;;1981;Exidy;Maze;2P alt;;;;0;;;;;
douni;Mr. Do vs. Unicorns;MAME Mame4all;docastle;1983;Universal;Platform / Run Jump;2P alt;;;;0;;docastle;;;
mrdot;Mr. Do! (Taito);MAME Mame4all;mrdo;1982;Universal (Taito license);Maze / Digging;2P alt;;;;0;;mrdo;;;
mrdo;Mr. Do! (Universal);MAME Mame4all;;1982;Universal;Maze / Digging;2P alt;;;;0;;;;;
mrdoy;Mr. Do! (Yukidaruma);MAME Mame4all;mrdo;1982;bootleg;Maze / Digging;2P alt;;;;0;;mrdo;;;
mrdofix;Mr. Do! (bugfixed);MAME Mame4all;mrdo;1982;Universal (Taito license);Maze / Digging;2P alt;;;;0;;mrdo;;;
docastle;Mr. Do's Castle (set 1);MAME Mame4all;;1983;Universal;Platform / Run Jump;2P alt;;;;0;;;;;
docastl2;Mr. Do's Castle (set 2);MAME Mame4all;docastle;1983;Universal;Platform / Run Jump;2P alt;;;;0;;docastle;;;
dowild;Mr. Do's Wild Ride;MAME Mame4all;;1984;Universal;Platform / Run Jump;2P alt;;;;0;;;;;
mrdu;Mr. Du!;MAME Mame4all;mrdo;1982;bootleg;Maze / Digging;2P alt;;;;0;;mrdo;;;
mrgoemon;Mr. Goemon (Japan);MAME Mame4all;;1986;Konami;Platform / Fighter Scrolling;2P alt;;;;0;;;;;
mrheli;Mr. HELI no Dai-Bouken;MAME Mame4all;bchopper;1987;Irem;Shooter / Flying;2P alt;;;;0;;bchopper;;;
mrjong;Mr. Jong (Japan);MAME Mame4all;;1983;Kiwako;Puzzle / Maze;2P alt;;;;0;;;;;
mrlo;Mr. Lo!;MAME Mame4all;mrdo;1982;bootleg;Maze / Digging;2P alt;;;;0;;mrdo;;;
mrtnt;Mr. TNT;MAME Mame4all;;1983;Telko;Maze;2P alt;;;;0;;;;;
mspacman;Ms. Pac-Man;MAME Mame4all;;1981;bootleg;Maze;2P alt;;;;0;;;;;
mspacatk;Ms. Pac-Man Plus;MAME Mame4all;mspacman;1981;hack;Maze;2P alt;;;;0;;mspacman;;;
mnchmobl;Munch Mobile (Japan);MAME Mame4all;joyfulr;1983;SNK (Centuri license);Driving;2P alt;;;;0;;joyfulr;;;
mbomberj;Muscle Bomber - The Body Explosion (Japan);MAME Mame4all;slammast;1993;Capcom;Sports / Wrestling;4P sim;;;;0;;slammast;;;
mbombrdj;Muscle Bomber Duo - Heat Up Warriors (Japan);MAME Mame4all;slammast;1993;Capcom;Sports / Wrestling;4P sim;;;;0;;slammast;;;
mbombrd;Muscle Bomber Duo - Ultimate Team Battle (World);MAME Mame4all;slammast;1993;Capcom;Sports / Wrestling;4P sim;;;;0;;slammast;;;
mnight;Mutant Night;MAME Mame4all;;1987;UPL (Kawakus license);Platform / Shooter Scrolling;2P alt;;;;0;;;;;
mutnat;Mutation Nation;MAME Mame4all;;1992;SNK;Fighter / 2.5D;2P sim;;;;0;;neogeo;;;
myherok;My Hero (Korea);MAME Mame4all;myhero;1985;Coreland / Sega;Fighter / 2D;2P alt;;;;0;;myhero;;;
