#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
gangonta;Ganbare! Gonta!! 2 / Party Time: Gonta the Diver II (Japan Release);Final Burn Alpha;prtytime;1995;Mitchell;Misc. * Mature *;1P;;;;0;;prtytime;;;
ganbare;Ganbare! Marine Kun (Marine 2K0411 JPN);Final Burn Alpha;;2000;Capcom;Shooter / 3rd Person;1P;;;;0;;;;;
gbusters;Gang Busters (set 1);Final Burn Alpha;;1988;Konami;Shooter / Walking;2P sim;;;;0;;;;;
gbustersa;Gang Busters (set 2);Final Burn Alpha;gbusters;1988;Konami;Shooter / Walking;2P sim;;;;0;;gbusters;;;
gangwars;Gang Wars;Final Burn Alpha;;1989;Alpha Denshi Co.;Fighter / 2.5D;2P sim;;;;0;;;;;
gangwarsj;Gang Wars (Japan);Final Burn Alpha;gangwars;1989;Alpha Denshi Co.;Fighter / 2.5D;2P sim;;;;0;;gangwars;;;
gangwarsu;Gang Wars (US);Final Burn Alpha;gangwars;1989;Alpha Denshi Co.;Fighter / 2.5D;2P sim;;;;0;;gangwars;;;
gangwarsb;Gang Wars (bootleg) [Bootleg];Final Burn Alpha;gangwars;1989;bootleg;Fighter / 2.5D;2P sim;;;;0;;gangwars;;;
ganryu;Ganryu / Musashi Ganryuki;Final Burn Alpha;;1999;Visco;Platform / Fighter Scrolling;2P alt;;;;0;;neogeo;;;
gaplusd;Gaplus (GP2 rev D, alternate hardware);Final Burn Alpha;gaplus;1984;Namco;Shooter / Gallery;2P alt;;;;0;;gaplus;;;
gaplus;Gaplus (GP2 rev. B);Final Burn Alpha;;1984;Namco;Shooter / Gallery;2P alt;;;;0;;;;;
gaplusa;Gaplus (GP2);Final Burn Alpha;gaplus;1984;Namco;Shooter / Gallery;2P alt;;;;0;;gaplus;;;
gaplust;Gaplus (Tecfri PCB) [Bootleg];Final Burn Alpha;gaplus;1992;bootleg (Tecfri);Shooter / Gallery;2P alt;;;;0;;gaplus;;;
gardia;Gardia (317-0006);Final Burn Alpha;;1986;Coreland / Sega;Shooter / Flying Vertical;2P alt;;;;0;;;;;
garogun;Garogun Seroyang (Korea);Final Burn Alpha;;2000;Yun Sung;Quiz / Korean;1P;;;;0;;;;;
garouha;Garou - Mark of the Wolves (NGH-2530);Final Burn Alpha;garou;1999;SNK;Fighter / Versus;2P sim;;;;0;;garou;;;
garou;Garou - Mark of the Wolves (NGM-2530);Final Burn Alpha;;1999;SNK;Fighter / Versus;2P sim;;;;0;;neogeo;;;
garouh;Garou - Mark of the Wolves (NGM-2530) (NGH-2530);Final Burn Alpha;garou;1999;SNK;Fighter / Versus;2P sim;;;;0;;garou;;;
garoubl;Garou - Mark of the Wolves (bootleg) [Bootleg];Final Burn Alpha;garou;1999;bootleg;Fighter / Versus;2P sim;;;;0;;garou;;;
garoup;Garou - Mark of the Wolves (prototype) [Prototype];Final Burn Alpha;garou;1999;SNK;Fighter / Versus;2P sim;;;;0;;garou;;;
garuka;Garuka (Japan ver. W) [Minor Video glitches in level 2.];Final Burn Alpha;devstors;1988;Konami;Shooter / 3rd Person;2P sim;;;;0;;devstors;;;
garyoret;Garyo Retsuden (Japan);Final Burn Alpha;;1987;Data East Corporation;Shooter / Walking;2P sim;;;;0;;;;;
