#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Alpine Ski Racing 2007 - Bode Miller vs. Hermann Maier (Germany);Alpine Ski Racing 2007 - Bode Miller vs. Hermann Maier (Germany);Sony PlayStation 2;;2006;49Games;Sports/Skiing;;;;;0;;;;;
Alpine Skiing 2005 (Europe);Alpine Skiing 2005 (Europe);Sony PlayStation 2;;2005;Midas Interactive Entertainment;Sports/Skiing;;;;;0;;;;;
Alter Echo (USA);Alter Echo (USA);Sony PlayStation 2;;2003;Outrage Games;Shooter;;;;;0;;;;;
Altered Beast (Europe);Altered Beast (Europe);Sony PlayStation 2;;2005;Wow Entertainment;Beat-'Em-Up;;;;;0;;;;;
Alvin and the Chipmunks (USA);Alvin and the Chipmunks (USA);Sony PlayStation 2;;2007;Sensory Sweep;Rhythm;;;;;0;;;;;
American Chopper (USA);American Chopper (USA);Sony PlayStation 2;;2004;Creat Studios;Motorcycle;;;;;0;;;;;
American Chopper 2 - Full Throttle (USA);American Chopper 2 - Full Throttle (USA);Sony PlayStation 2;;2005;Creat Studios;Motorcycle;;;;;0;;;;;
American Idol (USA);American Idol (USA);Sony PlayStation 2;;2003;Hothouse Creations;Rhythm;;;;;0;;;;;
American Tail, An (Europe);American Tail, An (Europe);Sony PlayStation 2;;2007;Data Design Interactive;Platform;;;;;0;;;;;
Amplitude (USA);Amplitude (USA);Sony PlayStation 2;;2003;Harmonix Music Systems;Rhythm;;;;;0;;;;;
Animal Soccer World (Europe);Animal Soccer World (Europe);Sony PlayStation 2;;2005;Phoenix Games;Sports/Soccer;;;;;0;;;;;
Animaniacs - The Great Edgar Hunt (Europe);Animaniacs - The Great Edgar Hunt (Europe);Sony PlayStation 2;;2005;Warthog;Platform;;;;;0;;;;;
Ant Bully, The (USA);Ant Bully, The (USA);Sony PlayStation 2;;2006;Artificial Mind and Movement;Platform;;;;;0;;;;;
Antz Extreme Racing (USA);Antz Extreme Racing (USA);Sony PlayStation 2;;2002;Empire Interactive;Driving;;;;;0;;;;;
Anubis II (Europe);Anubis II (Europe);Sony PlayStation 2;;2005;Data Design Interactive;Platform;;;;;0;;;;;
Ape Escape - Pumped & Primed (USA);Ape Escape - Pumped & Primed (USA);Sony PlayStation 2;;2004;SCEI;Party;;;;;0;;;;;
Ape Escape 2 (USA);Ape Escape 2 (USA);Sony PlayStation 2;;2003;SCE Japan Studio;Platform;;;;;0;;;;;
Ape Escape 3 (USA);Ape Escape 3 (USA);Sony PlayStation 2;;2006;SCE Japan Studio;Platform;;;;;0;;;;;
Aqua Aqua (USA);Aqua Aqua (USA);Sony PlayStation 2;;2001;Zed Two Limited;Puzzle;;;;;0;;;;;
Aqua Teen Hunger Force - Zombie Ninja Pro-Am (USA);Aqua Teen Hunger Force - Zombie Ninja Pro-Am (USA);Sony PlayStation 2;;2007;Creat Studios;Action;;;;;0;;;;;
Ar tonelico - Melody of Elemia (USA);Ar tonelico - Melody of Elemia (USA);Sony PlayStation 2;;2007;Gust;Role-Playing;;;;;0;;;;;
Ar tonelico II - Melody of Metafalica (USA);Ar tonelico II - Melody of Metafalica (USA);Sony PlayStation 2;;2009;Gust;Role-Playing;;;;;0;;;;;
Arc the Lad - End of Darkness (USA);Arc the Lad - End of Darkness (USA);Sony PlayStation 2;;2005;Cattle Call;Role-Playing;;;;;0;;;;;
Arc the Lad - Twilight of the Spirits (USA);Arc the Lad - Twilight of the Spirits (USA);Sony PlayStation 2;;2003;Cattle Call;Role-Playing;;;;;0;;;;;
Arcade Action - 30 Games (Europe);Arcade Action - 30 Games (Europe);Sony PlayStation 2;;2006;Phoenix Games;Compilation;;;;;0;;;;;
