#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Koutetsu Teikoku (Japan);Koutetsu Teikoku (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Kujaku Ou 2 (Japan);Kujaku Ou 2 (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Kuuga - Operation Vapor Trail (Japan);Kuuga - Operation Vapor Trail (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Kyuukai Douchuuki (Japan);Kyuukai Douchuuki (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Kyuukyou Tiger (Japan);Kyuukyou Tiger (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Labyrinth of Death (Japan);Labyrinth of Death (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Langrisser (Japan);Langrisser (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Langrisser II (Japan) (v1.1);Langrisser II (Japan) (v1.1);Sega Mega Drive Japan;;;;;;;;;;;;;;
Langrisser II (Japan) (v1.2);Langrisser II (Japan) (v1.2);Sega Mega Drive Japan;;;;;;;;;;;;;;
Lord Monarch (Japan);Lord Monarch (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Madou Monogatari I (Japan);Madou Monogatari I (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Magical Hat no Buttobi Turbo! Daibouken (Japan);Magical Hat no Buttobi Turbo! Daibouken (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Magical Taruruuto-kun (Japan);Magical Taruruuto-kun (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Mahjong Cop Ryuu - Shiro Ookami no Yabou (Japan);Mahjong Cop Ryuu - Shiro Ookami no Yabou (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Mamono Hunter Yohko - Makai Kara no Tenkosei (J) [!];Mamono Hunter Yohko - Makai Kara no Tenkosei (J) [!];Sega Mega Drive Japan;;;;;;;;;;;;;;
